address,address_lower,to_is_contract
0x035bdAeaB85E47710C27EdA7FD754bA80aD4ad02,0x035bdaeab85e47710c27eda7fd754ba80ad4ad02,True
0x03f34bE1BF910116595dB1b11E9d1B2cA5D59659,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,True
0x03f7724180AA6b939894B5Ca4314783B0b36b329,0x03f7724180aa6b939894b5ca4314783b0b36b329,True
0x043663A02F755AF28492e777F26beE26FBbd625F,0x043663a02f755af28492e777f26bee26fbbd625f,True
0x0439e60F02a8900a951603950d8D4527f400C3f1,0x0439e60f02a8900a951603950d8d4527f400c3f1,True
0x054fd961708D8E2B9c10a63F6157c74458889F0a,0x054fd961708d8e2b9c10a63f6157c74458889f0a,True
0x056C1D42Fb1326f57da7f19eBB7dDA4673f1FF55,0x056c1d42fb1326f57da7f19ebb7dda4673f1ff55,True
0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,True
0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,True
0x06Be1d61a6FBD6664d7E0174140441787A120F61,0x06be1d61a6fbd6664d7e0174140441787a120f61,True
0x07042134d4DC295CBF3aB08a4a0eFF847a528171,0x07042134d4dc295cbf3ab08a4a0eff847a528171,True
0x071ad995F35BfD5130b7e72c6937112387706F86,0x071ad995f35bfd5130b7e72c6937112387706f86,True
0x07E594aA718bB872B526e93EEd830a8d2a6A1071,0x07e594aa718bb872b526e93eed830a8d2a6a1071,True
0x081FAC886FDcacdC826C4135ED4BA5b65ecEcFb8,0x081fac886fdcacdc826c4135ed4ba5b65ececfb8,True
0x0828096494ad6252F0F853abFC5b6ec9dfe9fDAd,0x0828096494ad6252f0f853abfc5b6ec9dfe9fdad,True
0x08389495D7456E1951ddF7c3a1314A4bfb646d8B,0x08389495d7456e1951ddf7c3a1314a4bfb646d8b,True
0x088f914587F7d7aAd8760015DD9aDf35603b5b0C,0x088f914587f7d7aad8760015dd9adf35603b5b0c,True
0x090185f2135308BaD17527004364eBcC2D37e5F6,0x090185f2135308bad17527004364ebcc2d37e5f6,True
0x09843f74Adf077A3dD7B1571526165D91466A5Ea,0x09843f74adf077a3dd7b1571526165d91466a5ea,True
0x09fE5f0236F0Ea5D930197DCE254d77B04128075,0x09fe5f0236f0ea5d930197dce254d77b04128075,True
0x0a252663DBCc0b073063D6420a40319e438Cfa59,0x0a252663dbcc0b073063d6420a40319e438cfa59,True
0x0a2C375553e6965b42C135bb8B15a8914B08de0c,0x0a2c375553e6965b42c135bb8b15a8914b08de0c,True
0x0A638F07ACc6969abF392bB009f216D22aDEa36d,0x0a638f07acc6969abf392bb009f216d22adea36d,True
0x0A791089ACf48912a9Cfde00E3A6aFe9eDBC3221,0x0a791089acf48912a9cfde00e3a6afe9edbc3221,True
0x0a7eC264D69F8823B2c8467431B8bf46bA6F853c,0x0a7ec264d69f8823b2c8467431b8bf46ba6f853c,True
0x0a992d191DEeC32aFe36203Ad87D7d289a738F81,0x0a992d191deec32afe36203ad87d7d289a738f81,True
0x0b0BB6bD81EBAb4a686D2b8b8e4a940BbFe6D1d7,0x0b0bb6bd81ebab4a686d2b8b8e4a940bbfe6d1d7,True
0x0b38210ea11411557c13457D4dA7dC6ea731B88a,0x0b38210ea11411557c13457d4da7dc6ea731b88a,True
0x0B9857ae2D4A3DBe74ffE1d7DF045bb7F96E4840,0x0b9857ae2d4a3dbe74ffe1d7df045bb7f96e4840,True
0x0bc37BEA9068a86C221B8bd71eA6228260DAD5A2,0x0bc37bea9068a86c221b8bd71ea6228260dad5a2,True
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,True
0x0bFAd705e2b71c88f0eD1cd49B58a4C05b23568D,0x0bfad705e2b71c88f0ed1cd49b58a4c05b23568d,True
0x0c73f1cFd5C9dFc150C8707Aa47Acbd14F0BE108,0x0c73f1cfd5c9dfc150c8707aa47acbd14f0be108,True
0x0D3CbED3f69EE050668ADF3D9Ea57241cBa33A2B,0x0d3cbed3f69ee050668adf3d9ea57241cba33a2b,True
0x0d55Ec9fF5680422cE3AD7526098b6E8BFeD7C95,0x0d55ec9ff5680422ce3ad7526098b6e8bfed7c95,True
0x0D59b9D6978814eC27C4D3426949F5373f6dcF65,0x0d59b9d6978814ec27c4d3426949f5373f6dcf65,True
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0x0d8775f648430679a709e98d2b0cb6250d2887ef,True
0x0DDC6F9CE13b985DFd730b8048014B342D1b54F7,0x0ddc6f9ce13b985dfd730b8048014b342d1b54f7,True
0x0eae044f00B0aF300500F090eA00027097d03000,0x0eae044f00b0af300500f090ea00027097d03000,True
0x0EE1AF240E39bbb34780907e85d56c0FE3b18Bd3,0x0ee1af240e39bbb34780907e85d56c0fe3b18bd3,True
0x0f2D719407FdBeFF09D87557AbB7232601FD9F29,0x0f2d719407fdbeff09d87557abb7232601fd9f29,True
0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,True
0x0Fb0978F28AaEF210F783dD0C19571eDd2442F96,0x0fb0978f28aaef210f783dd0c19571edd2442f96,True
0x0fe08D911246566fdFD4afE0181a21ab810EE1C2,0x0fe08d911246566fdfd4afe0181a21ab810ee1c2,True
0x1001271083C249bd771E1bb76C22D935809a61Ee,0x1001271083c249bd771e1bb76c22d935809a61ee,True
0x100ae042Ef0EA159EcC3513E9A378FF21F3829ba,0x100ae042ef0ea159ecc3513e9a378ff21f3829ba,True
0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,0x100daa78fc509db39ef7d04de0c1abd299f4c6ce,True
0x10c53DeBEc28cAb72E93bB9AC760A64DAd07229B,0x10c53debec28cab72e93bb9ac760a64dad07229b,True
0x111111111117dC0aa78b770fA6A738034120C302,0x111111111117dc0aa78b770fa6a738034120c302,True
0x111111125421cA6dc452d289314280a0f8842A65,0x111111125421ca6dc452d289314280a0f8842a65,True
0x1111111254EEB25477B68fb85Ed929f73A960582,0x1111111254eeb25477b68fb85ed929f73a960582,True
0x1111111254fb6c44bAC0beD2854e76F90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,True
0x112E9FdAd728aDFBb1CE407a9CFa9339E1C6E130,0x112e9fdad728adfbb1ce407a9cfa9339e1c6e130,True
0x1180c114f7fAdCB6957670432a3Cf8Ef08Ab5354,0x1180c114f7fadcb6957670432a3cf8ef08ab5354,True
0x1223334444A7466fBf985B14E1F4EdAf3883bCa6,0x1223334444a7466fbf985b14e1f4edaf3883bca6,True
0x1231DEB6f5749EF6cE6943a275A1D3E7486F4EaE,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,True
0x12652C6d93FDB6F4f37d48A8687783C782BB0d10,0x12652c6d93fdb6f4f37d48a8687783c782bb0d10,True
0x12970E6868f88f6557B76120662c1B3E50A646bf,0x12970e6868f88f6557b76120662c1b3e50a646bf,True
0x12b6893cE26Ea6341919FE289212ef77e51688c8,0x12b6893ce26ea6341919fe289212ef77e51688c8,True
0x12Ed0641242e4C6c220e3ca8F616E9d5470AC99a,0x12ed0641242e4c6c220e3ca8f616e9d5470ac99a,True
0x12eED6C1302453fE04A3F685879C8C9299bC7BC2,0x12eed6c1302453fe04a3f685879c8c9299bc7bc2,True
0x12FF0E28318E53a6f91D42cF607963076AF6c03F,0x12ff0e28318e53a6f91d42cf607963076af6c03f,True
0x1409262A7A05c7B1ca7675c12721b18328686022,0x1409262a7a05c7b1ca7675c12721b18328686022,True
0x14778860E937f509e651192a90589dE711Fb88a9,0x14778860e937f509e651192a90589de711fb88a9,True
0x1495bc9e44Af1F8BCB62278D2bEC4540cF0C05ea,0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,True
0x14feE680690900BA0ccCfC76AD70Fd1b95D10e16,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,True
0x1522900B6daFac587d499a862861C0869Be6E428,0x1522900b6dafac587d499a862861c0869be6e428,True
0x15a7EdBbd8909358AE91a278b42d8ebF0CE9452e,0x15a7edbbd8909358ae91a278b42d8ebf0ce9452e,True
0x15b7011bDE1C5836C67f16E6e03033c272156193,0x15b7011bde1c5836c67f16e6e03033c272156193,True
0x15b7c0c907e4C6b9AdaAaabC300C08991D6CEA05,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,True
0x15e6E0D4ebeAC120F9a97e71FaA6a0235b85ED12,0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,True
0x162433c934aA74ba147E05150B1206b2C922f71d,0x162433c934aa74ba147e05150b1206b2c922f71d,True
0x163f8C2467924be0ae7B5347228CABF260318753,0x163f8c2467924be0ae7b5347228cabf260318753,True
0x16b68E1C5D3b9B3028978d96e106D3a5c3B42093,0x16b68e1c5d3b9b3028978d96e106d3a5c3b42093,True
0x16C6521Dff6baB339122a0FE25a9116693265353,0x16c6521dff6bab339122a0fe25a9116693265353,True
0x16cCF917cF522010287A98B2896E25AB028114cB,0x16ccf917cf522010287a98b2896e25ab028114cb,True
0x16D5A408e807db8eF7c578279BEeEe6b228f1c1C,0x16d5a408e807db8ef7c578279beeee6b228f1c1c,True
0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,True
0x1715a3E4A142d8b698131108995174F37aEBA10D,0x1715a3e4a142d8b698131108995174f37aeba10d,True
0x1729F8Cc02237bD360c94c15a8ee41ab724f19fB,0x1729f8cc02237bd360c94c15a8ee41ab724f19fb,True
0x173272739Bd7Aa6e4e214714048a9fE699453059,0x173272739bd7aa6e4e214714048a9fe699453059,True
0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,0x18aaa7115705e8be94bffebde57af9bfc265b998,True
0x18B19EdB120300ea1B05964C785692bca89a4Bfc,0x18b19edb120300ea1b05964c785692bca89a4bfc,True
0x19b5cc75846BF6286d599ec116536a333C4C2c14,0x19b5cc75846bf6286d599ec116536a333c4c2c14,True
0x1a49d4Afc3eF76D53fB295A194910544273EF55a,0x1a49d4afc3ef76d53fb295a194910544273ef55a,True
0x1a688857723B954832C405836b262aB5320520DD,0x1a688857723b954832c405836b262ab5320520dd,True
0x1a76bfFD6D1FC1660e1d0E0552Fde51ddbB120CF,0x1a76bffd6d1fc1660e1d0e0552fde51ddbb120cf,True
0x1A8f43e01B78979EB4Ef7feBEC60F32c9A72f58E,0x1a8f43e01b78979eb4ef7febec60f32c9a72f58e,True
0x1Bbe973BeF3a977Fc51CbED703E8ffDEfE001Fed,0x1bbe973bef3a977fc51cbed703e8ffdefe001fed,True
0x1BF621Aa9ceE3F6154881c25041bB39AEd4ca7Cc,0x1bf621aa9cee3f6154881c25041bb39aed4ca7cc,True
0x1C1Fb35334290b5ff1bF7B4c09130885b10Fc0f4,0x1c1fb35334290b5ff1bf7b4c09130885b10fc0f4,True
