address,symbol,decimals
0x7613C48E0cd50E42dD9Bf0f6c235063145f6f8DC,PIRATE,18
0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee,Neiro,9
0x9EBb0895bD9C7C9dFAB0d8d877c66bA613Ac98Ea,MAGAA,18
0x0a2C375553e6965b42C135bb8B15a8914B08de0c,FROG,9
0x80B845C860c137d4396455AC0Cc6d44D2cd02E9e,KAMALA,18
0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,18
0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,CVX,18
0x111111111117dC0aa78b770fA6A738034120C302,1INCH,18
0xAeE9bA9CE49fe810417A36408e34D9962b653E78,SNIBBU,9
0x777BE1c6075c20184C4fd76344b7b0B7c858fe6B,BAR,18
0x8248270620Aa532E4d64316017bE5E873E37cc09,DEVVE,18
0xb2617246d0c6c0087f18703d576831899ca94f01,ZIG,18
0x6E2a43be0B1d33b726f0CA3b8de60b3482b8b050,ARKM,18
0x15700B564Ca08D9439C58cA5053166E8317aa138,deUSD,18
0x5C5b196aBE0d54485975D1Ec29617D42D9198326,sdeUSD,18
0xa4500d1E71Acf3975ae95BE0fFd188aAEB6142C2,KABOSU,18
0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,ROUTE,18
0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,FET,18
0x2255daE0D573fc1d532336772381264a417D281C,PEPE,9
0x974D796E0Bea47038f39C3F98b1aA2c5240b5495,EAVE,18
0x7f911119435D8dED9F018194B4b6661331379a3d,FWOG,18
0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,18
0x03Be5C903c727Ee2C8C4e9bc0AcC860Cca4715e2,CAPS,18
0x8C19f7854b27758DDFfdcDC8908F22BF55e00736,YIELD,18
0x6942040b6d25D6207E98f8E26C6101755D67Ac89,MELLOW,9
0x8eea6cc08D824B20Efb3bf7C248de694cb1f75F4,VPS,18
0x30a4aa1d14D44f0f5BFe887447AB6FAcc94A549F,cbwsETH,18
0xa250CC729Bb3323e7933022a67B52200fE354767,fwWETH,18
0x76107daca41C995E9d94AF27314818Bc99CBdc80,fwZRX,18
0xE41d2489571d322189246DaFA5ebDe1F4699F498,ZRX,18
0x12996C7B23c4012149bf9F5663FF9Aa08A9cF2E4,WSH,18
0x8fc17671D853341D9e8B001F5Fc3C892d09CB53A,BLOCK,18
0xc8bf8bC34874E07f6A0d4aBc8be22ba9E372631b,SWGT,8
0x26EbB8213fb8D66156F1Af8908d43f7e3e367C1d,RETIK,18
0x2d886570A0dA04885bfD6eb48eD8b8ff01A0eb7e,BCB,9
0x923607A06aA8F1c525a5bb2d921CF85E625bE776,TCRV,18
0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b,AXS,18
0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E,ILV,18
0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,OGN,18
0x1a76bfFD6D1FC1660e1d0E0552Fde51ddbB120CF,RST,18
0x698ba479bcCE123ed44B510c8E1C8Be80fc97461,$HACHI,10
0x5520A65c6014bdcBAE2d50cD7fAdD9e14E85Bf66,MOONM,18
0x0425e5Bf7F52591a04Fbe24C454ac004179C4318,ALLBI,18
0x6B417828051328caef5B4e0BfE8325962Ec8fB17,SBS,18
0xB8A914A00664e9361eaE187468EfF94905dfbC15,DRIP,9
0x760BcC590B18AA90a11c4E1DA468faD3236dC76d,RPP,18
0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,PYUSD,6
0xB0fFa8000886e57F86dd5264b9582b2Ad87b2b91,W,18
0x636bd98fC13908e475F56d8a38a6e03616Ec5563,WAT,18
0x31C4f6A7b6351B89F16278a5Ceb6AbcE5381Cb4f,GINNAN,9
0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,BIT,18
0xed1167b6Dc64E8a366DB86F2E952A482D0981ebd,LBR,18
0x14FE42c10e43E4a41A62CC6cff223fbC97071c3D,AOBA,9
0x6982508145454Ce325dDbE47a25d4ec3d2311933,PEPE,18
0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,IQ,18
0x32b86b99441480a7E5BD3A26c124ec2373e3F015,BAD,18
0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,GTC,18
0xD7B2C1a7F3c67fB0EA57a7ef29bC1F18D7bE3195,vMINT,18
0xb58E26ac9cc14c0422C2b419b0CA555Ee4DcB7CB,Niza,9
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AAVE,18
0x25931894a86D47441213199621F1F2994e1c39Aa,CGPT,18
0xd32CB5f76989A27782e44c5297AAba728Ad61669,HyPCL,18
0x836B4d9C0F01275A28085AceF53AC30460f58242,CNPR,18
0x9c354503C38481a7A7a51629142963F98eCC12D0,OGV,18
0xF68DF06AC6A44334a970c4cDd9c107E985ccCD34,POCHI,9
0x1294f4183763743c7c9519Bec51773fb3aCD78FD,FI,18
0xeA7B7DC089c9a4A916B5a7a37617f59fD54e37E4,HyPC,6
0xe2512A2f19F0388aD3D7A5263eaA82AcD564827b,SHIDO,18
0xac5B038058bcD0424C9c252c6487C25F032E5dDc,AIEPK,18
0x967B0c95295ead8fAef70d26A7846AeCD349AAFf,$HACHI,18
0xD31a59c85aE9D8edEFeC411D448f90841571b89c,SOL,9
0x4b9278b94a1112cAD404048903b8d343a810B07e,UNK,18
0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,JASMY,18
0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,NEAR,24
0xB8A4350eDaFD7af34164Dd5870e49E28393FF3ec,MMTR,18
0x576e2BeD8F7b46D34016198911Cdf9886f78bea7,TRUMP,9
0x614Da3b37B6F66F7Ce69B4Bbbcf9a55CE6168707,MMX,18
0xbAbE3ce7835665464228dF00B03246115C30730A,BABYNEIRO,9
0x5BB15141bb6DeF6d2BafeED8ff84BF889c0C573B,LVM,18
0x5A713B087519fBc56E6262FA77943d77Ae3Da7EE,UNI-V2,18
0x9813037ee2218799597d83D4a5B6F3b6778218d9,BONE,18
0xA0Ef786Bf476fE0810408CaBA05E536aC800ff86,MYRIA,18
0x6081d7F04a8c31e929f25152d4ad37c83638C62b,FLT-DROP,18
0x40e9187078032AfE1a30cfcF76E4fe3D7aB5c6C5,AIX,18
0x6aA56e1D98b3805921C170EB4B3fe7D4Fda6D89b,TRUMP,9
0x4AC429A7cdf2b533E2c0cFF1b017F2c344E864e2,PLSX,18
0xC36983d3D9d379dDFB306DFB919099cB6730e355,COLLE,18
0x63b4f3e3fa4e438698CE330e365E831F7cCD1eF4,CFi,18
0x808507121B80c02388fAd14726482e061B8da827,PENDLE,18
0x00b321D89A8C36B3929f20B7955080baeD706D1B,PENDLE-LPT,18
